dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3554.86,84.53,87.58,86.03,1.00,vector_based_examples_dict_2,2036,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3554.70,83.85,90.13,86.88,1.00,vector_based_examples_dict_2,2112,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3554.70,84.99,87.58,86.27,1.00,vector_based_examples_dict_2,2025,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3581.98,84.71,90.23,87.38,1.00,join_examples_dict_1,2093,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3581.98,85.57,87.53,86.54,1.00,join_examples_dict_1,2010,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3581.98,85.61,86.92,86.26,1.00,join_examples_dict_1,1995,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3582.10,86.11,84.58,85.34,1.00,join_examples_dict_1,1930,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3585.13,84.69,90.38,87.44,1.00,join_examples_dict_2,2097,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3585.13,85.28,87.53,86.39,1.00,join_examples_dict_2,2017,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3585.13,85.37,90.59,87.90,1.00,join_examples_dict_2,2085,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3585.13,85.74,87.48,86.60,1.00,join_examples_dict_2,2005,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1528.17,84.66,90.13,87.31,1.00,vector_based_examples_dict_1,2092,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1528.17,85.57,87.53,86.54,1.00,vector_based_examples_dict_1,2010,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1528.17,84.97,90.03,87.42,1.00,vector_based_examples_dict_1,2082,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1528.17,85.86,87.43,86.64,1.00,vector_based_examples_dict_1,2001,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1537.04,84.75,90.48,87.52,1.00,vector_based_examples_dict_2,2098,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1537.04,85.70,87.84,86.76,1.00,vector_based_examples_dict_2,2014,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1537.16,85.66,90.59,88.05,1.00,vector_based_examples_dict_2,2078,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1537.10,86.10,87.63,86.86,1.00,vector_based_examples_dict_2,2000,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1546.26,85.58,90.89,88.15,1.00,join_examples_dict_1,2087,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1546.25,85.92,87.89,86.89,1.00,join_examples_dict_1,2010,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1546.25,85.86,90.84,88.28,1.00,join_examples_dict_1,2079,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1546.25,86.16,87.79,86.97,1.00,join_examples_dict_1,2002,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1538.04,85.17,90.89,87.94,1.00,join_examples_dict_2,2097,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1537.88,85.67,87.94,86.79,1.00,join_examples_dict_2,2017,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1537.88,85.87,90.94,88.33,1.00,join_examples_dict_2,2081,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1537.88,86.18,87.94,87.05,1.00,join_examples_dict_2,2005,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1765.88,62.55,79.54,70.03,1.00,vector_based_examples_dict_1,2499,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1765.99,77.29,86.92,81.82,1.00,vector_based_examples_dict_1,2210,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1765.85,76.24,79.69,77.93,1.00,vector_based_examples_dict_1,2054,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1765.85,82.79,79.80,81.26,1.00,vector_based_examples_dict_1,1894,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1764.80,63.27,78.47,70.06,1.00,vector_based_examples_dict_2,2437,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1764.78,79.51,87.07,83.12,1.00,vector_based_examples_dict_2,2152,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1764.77,76.77,77.05,76.91,1.00,vector_based_examples_dict_2,1972,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1764.93,83.74,77.86,80.70,1.00,vector_based_examples_dict_2,1827,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1777.61,60.01,76.44,67.23,1.00,join_examples_dict_1,2503,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1777.59,76.38,85.90,80.86,1.00,join_examples_dict_1,2210,distilroberta
