dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1098.20,71.35,89.87,79.55,1.00,join_examples_dict_1,2475,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1098.35,81.45,86.72,84.00,1.00,join_examples_dict_1,2092,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1098.19,77.66,85.09,81.20,1.00,join_examples_dict_1,2153,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1101.40,77.44,92.57,84.33,1.00,join_examples_dict_2,2349,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1101.40,72.21,90.33,80.26,1.00,join_examples_dict_2,2458,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1101.39,80.87,88.85,84.68,1.00,join_examples_dict_2,2159,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1101.39,76.81,86.97,81.58,1.00,join_examples_dict_2,2225,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1106.59,86.82,80.10,83.32,1.00,vector_based_examples_dict_1,1813,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1106.58,85.42,77.25,81.13,1.00,vector_based_examples_dict_1,1777,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1106.56,91.13,55.42,68.92,1.00,vector_based_examples_dict_1,1195,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1106.56,89.94,52.32,66.15,1.00,vector_based_examples_dict_1,1143,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1104.54,85.27,89.57,87.37,1.00,vector_based_examples_dict_2,2064,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1104.54,84.08,87.63,85.82,1.00,vector_based_examples_dict_2,2048,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1104.53,85.35,74.15,79.36,1.00,vector_based_examples_dict_2,1707,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1104.53,84.44,73.74,78.73,1.00,vector_based_examples_dict_2,1716,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1112.86,84.30,85.50,84.89,1.00,join_examples_dict_1,1993,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1112.86,83.33,83.97,83.65,1.00,join_examples_dict_1,1980,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1112.84,83.67,62.85,71.78,1.00,join_examples_dict_1,1476,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1112.84,83.10,63.05,71.70,1.00,join_examples_dict_1,1491,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1107.51,84.78,88.19,86.46,1.00,join_examples_dict_2,2044,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1107.51,83.53,86.46,84.97,1.00,join_examples_dict_2,2034,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1107.50,84.38,71.20,77.23,1.00,join_examples_dict_2,1658,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1107.50,83.80,70.79,76.74,1.00,join_examples_dict_2,1660,distilroberta
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,1581.09,88.75,68.24,77.16,0.80,vector_based_examples_dict_1,1511,TopKJoin
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,1581.09,88.06,65.70,75.26,0.80,vector_based_examples_dict_1,1466,distilroberta
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,1581.06,88.98,29.16,43.92,0.80,vector_based_examples_dict_1,644,TopKJoin
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,1581.06,88.44,27.63,42.11,0.80,vector_based_examples_dict_1,614,distilroberta
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,1511.16,86.76,89.72,88.22,0.74,vector_based_examples_dict_2,2032,TopKJoin
