dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
tmdb,tvdb,D7,openhermes-ft-p1,423.5722815990448,51.957104557640754,93.6231884057971,66.82758620689656,1.0,vector_based_examples_dict_2,1865,TopKJoin
tmdb,tvdb,D7,openhermes-ft-p1,423.57318568229675,51.21163166397415,91.88405797101449,65.76763485477179,1.0,vector_based_examples_dict_2,1857,distilroberta
tmdb,tvdb,D7,openhermes-ft-p2,417.8734853267669,53.23496027241771,90.6280193236715,67.07186271004647,1.0,vector_based_examples_dict_2,1762,TopKJoin
tmdb,tvdb,D7,openhermes-ft-p2,417.8734948635101,53.133985048878664,89.27536231884058,66.61860129776495,1.0,vector_based_examples_dict_2,1739,distilroberta
tmdb,tvdb,D7,openhermes-tf-p1,420.04323625564575,52.27272727272727,93.33333333333333,67.01352757544224,1.0,vector_based_examples_dict_2,1848,TopKJoin
tmdb,tvdb,D7,openhermes-tf-p1,420.0429804325104,52.01525054466231,92.27053140096618,66.52734238941134,1.0,vector_based_examples_dict_2,1836,distilroberta
tmdb,tvdb,D7,openhermes-tf-p2,419.8843321800232,52.76548672566371,92.17391304347827,67.11220541681323,1.0,vector_based_examples_dict_2,1808,TopKJoin
tmdb,tvdb,D7,openhermes-tf-p2,419.88467288017273,52.54332029066517,90.82125603864735,66.57223796033995,1.0,vector_based_examples_dict_2,1789,distilroberta
tmdb,tvdb,D7,zephyr-ft-p1,710.4938127994537,51.925820256776035,35.169082125603865,41.935483870967744,0.7101967799642218,vector_based_examples_dict_2,701,TopKJoin
tmdb,tvdb,D7,zephyr-ft-p1,710.4936308860779,51.925820256776035,35.169082125603865,41.935483870967744,0.7101967799642218,vector_based_examples_dict_2,701,distilroberta
tmdb,tvdb,D7,zephyr-ft-p2,772.8344798088074,46.308724832214764,13.333333333333334,20.705176294073517,0.5382826475849731,vector_based_examples_dict_2,298,TopKJoin
tmdb,tvdb,D7,zephyr-ft-p2,772.8343651294708,45.819397993311036,13.236714975845409,20.53973013493253,0.5382826475849731,vector_based_examples_dict_2,299,distilroberta
tmdb,tvdb,D7,zephyr-tf-p1,563.1757733821869,56.75020210185934,67.82608695652173,61.79577464788733,0.8316636851520572,vector_based_examples_dict_2,1237,TopKJoin
tmdb,tvdb,D7,zephyr-tf-p1,563.128312587738,57.224489795918366,67.72946859903382,62.035398230088504,0.8316636851520572,vector_based_examples_dict_2,1225,distilroberta
tmdb,tvdb,D7,zephyr-tf-p2,574.0488367080688,49.23076923076923,37.10144927536232,42.31404958677686,0.7300536672629696,vector_based_examples_dict_2,780,TopKJoin
