dataset_1,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
cora,cora,llama3.1-ft-p2 ∩ llama3.1-tf-p2,6176.79,81.20,69.28,74.77,0.96,vector_based_examples_dict_2,13311,99.88
cora,cora,llama3.1-ft-p2 U llama3.1-tf-p2,6200.51,74.75,99.43,85.34,0.98,join_examples_dict_1,20755,99.98
cora,cora,llama3.1-ft-p2 ∩ llama3.1-tf-p2,6200.51,78.28,87.90,82.81,0.98,join_examples_dict_1,17521,99.97
cora,cora,llama3.1-ft-p2 U llama3.1-tf-p2,6170.21,75.95,97.82,85.51,0.99,join_examples_dict_2,20096,99.98
cora,cora,llama3.1-ft-p2 ∩ llama3.1-tf-p2,6170.21,80.05,81.51,80.77,0.99,join_examples_dict_2,15887,99.97
cora,cora,orca2-ft-p2 U orca2-tf-p2,2844.62,77.17,89.80,83.01,0.99,vector_based_examples_dict_1,18156,99.98
cora,cora,orca2-ft-p2 ∩ orca2-tf-p2,2844.62,80.65,75.38,77.92,0.99,vector_based_examples_dict_1,14583,99.92
cora,cora,orca2-ft-p2 U orca2-tf-p2,2790.00,80.27,89.78,84.76,0.99,vector_based_examples_dict_2,17452,99.98
cora,cora,orca2-ft-p2 ∩ orca2-tf-p2,2790.00,82.72,76.01,79.22,0.99,vector_based_examples_dict_2,14338,99.97
cora,cora,orca2-ft-p2 U orca2-tf-p2,2788.58,81.09,92.39,86.37,0.99,join_examples_dict_1,17777,99.97
cora,cora,orca2-ft-p2 ∩ orca2-tf-p2,2788.58,85.31,78.93,82.00,0.99,join_examples_dict_1,14436,99.94
cora,cora,orca2-ft-p2 U orca2-tf-p2,2814.49,81.18,88.07,84.48,0.98,join_examples_dict_2,16927,99.97
cora,cora,orca2-ft-p2 ∩ orca2-tf-p2,2814.49,84.51,71.77,77.62,0.98,join_examples_dict_2,13250,99.92
cora,cora,openhermes-ft-p2 U openhermes-tf-p2,2867.44,85.15,82.53,83.82,1.00,vector_based_examples_dict_1,15123,99.95
cora,cora,openhermes-ft-p2 ∩ openhermes-tf-p2,2867.44,93.48,55.12,69.35,1.00,vector_based_examples_dict_1,9201,99.83
cora,cora,openhermes-ft-p2 U openhermes-tf-p2,2823.38,84.80,91.93,88.22,1.00,vector_based_examples_dict_2,16916,99.98
cora,cora,openhermes-ft-p2 ∩ openhermes-tf-p2,2823.38,92.92,76.81,84.10,1.00,vector_based_examples_dict_2,12897,99.94
